text,anotador1,anotador2,anotador3,coluna_combinada,final_label
#BBB23 prova de bate volta chata e demorada Depois eu procuro quem se salvou nessa merda 🤗,toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
#BBB23 prova de sorte Puta merda Boa sorte pra quem tem santo forte aí 🙌🙌🙌,not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"#BDRJ Fachel, tirando a coleta de lixo qual serviço público funciona no RJ? Nenhum! Mas quando o carioca, de forma esmagadora reelege o Gaguinho é porque está satisfeito. Agora não adianta chorar.",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"#PaulistaoNaTNT que lixo de emissora não deveria nem tentar transmitir paulistão vai lá pro campeonato carioca ,mineiro ou gaúcho seus lixos narração e comentários horríveis vaza seus ruins lixos",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
#askbsd tinha que ser sulista mesmo né vai a merda,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"#bdrj o Bom Dia RJ sempre foi ótimo. Mas depois da Silvana e seus bordões (pinto no lixo que fase) e o Fachel (tem cheirinho de café na cozinha, aqui tem notícia), o jornal ficou muito mais carioca, muito mais fluminense. Parabéns!!!",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"#cariocanaband Parabéns Bandeirantes pela bela cobertura do campeonato carioca, totalmente diferente do ano passado naquelas transmissões lixo da Record.",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"#deixaonordestinovotar TOMEM VERGONHA NA CARA E DEIXEM O POVO VOTAR, NINGUÉM É OBRIGADO A VOTAR NESSE LIXO DO ATUAL PRESIDENTE. SABEM A FORÇA DO NORDESTINO, POR ISSO QUEREM IMPEDIR!!!",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
#g4bandsports ué e o Flamengo no começo do campeonato não tava pronto pra ser jogado no lixo? O Atlético Mineiro não está começando a melhorar? O problema não é o técnico e sim o timing das coisas.,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"(Com exceção dos meus amigos), seus sulistas fdp, não venham passar nem um fds aqui no meu nordeste viu 😡 #Lula #LulaPresidente #nordeste",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"+ pra ter que ouvir uns playboy de merda não entendendo pq o nordestino vota no Lula se o nordeste continua pobre kkkkkkk (não é um só, viu? é uma das coisas que mais escutei de broxominion nesses últimos anos)",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"+5 kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk mano, tem que acabar com esse lixo chamado de Campeonato Carioca vtnc",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"- LB 21: marcou, pitico entregou - Supercopa 22: marcou, quatro pênaltis perdidos - Carioca 22: marcou, Léo e PS já haviam entregado - Supercopa 23: marcou dois, time lixo e sistema def. em dia de peneira Nem Noé carregou tanto animal como Gabi em jogo de vice. Não merecia",not_toxic,toxic,not_toxic,"not_toxic, toxic, not_toxic",not_toxic
"- “Fulano não vale a água da vina” significa que o cara é um merda - o clima mais escroto do brasil, amanhece 2graus e ao meio dia ta 25 - vários acham que meu sotaque é de carioca - não existe 1(um) paranaense que não desce pra balneário nas férias",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"-mano, mineiro inventou a palavra “meiar” sendo que ja existe a palavra “dividir”. -mas quando se trata de dividir ao meio, “meiar” é mt mais prático. -os cara inventaram um verbo mano, tem como conjugar essa merda aí e a palavra nem existe na língua portuguesa",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
". Bolsonaro não deixou ninguém para trás. Aumentou o Auxílio Brasil, concluiu a obra de transposição e proporcionou milhares de poços artesianos. Aos irmãos nordestinos, o que peço é que não se deixe levar por mentiras do PT, Data Folha, Globo Lixo ou artistas Rouanet.",toxic,not_toxic,toxic,"toxic, not_toxic, toxic",toxic
01:47 da manhã e aqui estou eu morrendo de rir do vídeo da menina pulando em cima da bola e caindo só a merda na praia,not_toxic,not_toxic,not_toxic,"not_toxic, not_toxic, not_toxic",not_toxic
"10 min de atraso e não tem uma informação do porque Carioca sempre uma vergonha e transmissão da Band uma merda, não tem um repórter em campo pra descobrir?",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"12. Eu sou nordestino e de origem humilde, então essa não é uma informação fácil. A família do lixo é toda branca então tem algo da Europa, minha avó materna é branca e meu avô negro. Também temos descendência indígena, minha irmã é 100% a Pocahontas da Disney",not_toxic,toxic,not_toxic,"not_toxic, toxic, not_toxic",not_toxic
"2022 é CLUBE ATLÉTICO MINEIRO, todo mundo achou que ia ser pica que ia ser um ano muito bom mas no final foi uma merda e a gente se iludiu várias vezes",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
23:59 -> eu n ligo pra campeonato carioca 00:00 -> EU TO SIMPLESMENTE PUTA COM UM EMPATE EM PLENA 8H DA MANHÃ E TODA VEZ QUE EU PENSO NESSA MERDA ME DA VONTADE DE AGREDIR MEIO MUNDO,not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"2° jogo do ano e já tem gente cornetando o treinador. Campeonato Mineiro é uma merda, deixa o treinador testar quem ele quiser nesse campeonato",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"3. Que são de difícil compreensão para os forasteiros, mas tão significativas quanto as tradicionais, ao menos para os nativos. O carioca desconhece a pontualidade, é incapaz de entender que fila não existe para ser furada, não tem cerimônia alguma em espalhar lixo",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"300 xingamentos no grupo, foto de arma, vídeo de gente ameaçando petralha, uma galera desejando que nordestino morra de fome, transfobia a solta Ai eu vou lá e xingo uma burra de burra e Não MAS AI, acho que você perdeu a razão",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
5 reais ainda é muito caro pra usar trem no Rio de Janeiro. Esse bandido devia PAGAR a cada carioca que utilizasse o serviço lixo da Supervia.,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"60 toneladas de lixo na praia kkkkkkkkkk o carioca é imundo mesmo, merece uma prr de um rio cheio de lixo p nadar",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"75%DOS NORDESTINOS,VOTARAM NESSE LIXO ?",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
@jairbolsonaro mentiroso!! Mineiro vota nesse lixo??,toxic,not_toxic,toxic,"toxic, not_toxic, toxic",toxic
"A Brunna passava a imagem de carioca braba, toda Dona de si Bastou um beijinho num boy e já tá de quatro estragando todo seu jogo. Carência é uma merda! #bbb23",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"A Cretinice é uma das coisas mais nojentas q acho. O Cretino sulista de Santa Catarina que comanda o Escriba Cafe usando Guerra nas Estrelas pra defender o bolsonarismo. Canalha deturpando a obra. Pqp, é um lixo mesmo. Nazistinha de merda!",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
A FERJ é um lixo e o Campeonato Carioca é uma merda. Boa tarde,not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"A FMF é burra e deprecia o próprio produto, qual o jogo + esperado do mineiro?O clássico entre Galo e Cruzeiro, ai vc me coloca esse jogo em pleno carnaval, porra, pq não colocar em outra data, trata o produto com a importância devida, por essas e outras que é uma merda de camp.",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
A PICANHA OS NORDESTINO E INFELIZMENTE TODO BRASILEIROS VAI TER QUE SER MESMO UMA SOPINHA DE OSSO E QUEM NÃO GOSTA FAZ JEJUM E MUITA PENITÊNCIA PRA PAGAR A BOA VIDA DOS ARTISTAS DA GLOBO LIXO QUE AGORA ESTÃO RECEBENDO MILHÕES DA LEI ROUANET,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"A Supervia todo dia fode gostosinho a vida do Carioca pqp,que empresa lixo.",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
A arbitragem carioca é um LIXO.,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"A arbitragem do brasileirão já é uma merda, avalie ai a do carioca. Tu é doido q nojo de assistir isso",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
A base do Galo vai voltar a fazer peneiras. Kra. A base do clube atlético mineiro NÃO FAZIA PENEIRAS. QUE TIME MAIS ESCULACHADO. No Galo não fazia PENEIRAS Como quer revelar desse jeito. Só com indicação de empresário???? Que merda @Atletico,not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
